id;code_sap;razao_social;nome_fantasia;criado_em;atualizado_em;status
183;10491666;FOCO AGRONEG LTDA EPP;FOCO;2019-12-03 18:55:28.274305;2019-12-17 16:44:06.922601;1
184;10546385;FORCA AGRICOLA LTDA;FORÇA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
185;10512107;FORMOSA AGRO LTDA;FORMOSA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
186;10434547;FORTEAGRO PROD AGROPEC LTDA;FORTEAGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
187;10433400;FRISIA COOP AGROINDUSTRIAL;BATAVO;2019-12-03 18:55:28.274305;2019-12-18 14:46:57.686941;1
188;10488065;FRUT AGRO COM FRUTAS INS LTDA;FRUTIAGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
189;10433873;FUTURA INS AGRIC LTDA;FUTURA;2019-12-03 18:55:28.274305;2019-12-17 17:20:11.248571;1
190;10434144;G M GOMES MARIM COM REPRES PROD AGR;G M;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
191;10439887;GADENZ PARIZOTTO CIA LTDA;GADENZ PARIZOTTO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
192;10434138;GIRARDI PALOSCHI LTDA;GIRARDI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
193;10552689;GLOBAL PRODUTOS AGROP LTDA;GLOBAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
194;10434209;H F COM E REPRES LTDA ME;HF SEMENTES;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
195;10458346;HF COM E REPRES DE PROD AGROPEC LTD;HF PRODUTOS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
196;10434118;HIDROCERES COML AGRIC LTDA;HIDROCERES;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
197;10434126;HORTIBRAZ COMERCIO E TECNOLOGIA LTD;HORTIBRAZ;2019-12-03 18:55:28.274305;2020-01-09 17:39:05.523904;1
198;10551996;IMEMBUY ALIMENTOS SA;IMEMBUY;2019-12-03 18:55:28.274305;2020-01-09 16:26:08.560831;1
