ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
364;SYS - 200 L;SYS;200;L;200;0
365;VERMELHO BIOCOAT - 1000 L;VERMELHO BIOCOAT;1000;L;1000;0
366;VIANCE - 20 L;VIANCE;20;L;20;1
367;MERISTO - 1 L;MERISTO;1;L;1;1
368;MONARIS - 5 L;MONARIS;5;L;5;1
370;VECTOBAC 12 AS - 10 L;VECTOBAC 12 AS;10;L;10;0
371;VIANCE - 5 L;VIANCE;5;L;5;1
372;VOLUBILIS - 5 L;VOLUBILIS;5;L;5;1
374;AMETRINA 500 SC RAINBOW - 20 L;AMETRINA 500 SC RAINBOW;20;L;20;1
375;AUGE - 5 L;AUGE;5;L;5;1
376;CALARIS - 20 L;CALARIS;20;L;20;1
377;CALARIS - 5 L;CALARIS;5;L;5;1
378;CHANCELLA - 1000 L;CHANCELLA;1000;L;1000;1
380;LUMICA - 1 L;LUMICA;1;L;1;1
381;PLATINUM NEO - 1 L;PLATINUM NEO;1;L;1;1
382;PROCLAIM - 1 KG;PROCLAIM;1;KG;1;1
383;ACTARA 250 WG - 5 KG;ACTARA 250 WG;5;KG;5;1
385;AMISTAR 50 WG - 500 KG;AMISTAR 50 WG;500;KG;500;1
386;AMPLIGO PRO - 1 L;AMPLIGO PRO;1;L;1;1
387;AMPLIGO PRO - 5 L;AMPLIGO PRO;5;L;5;1
388;AMPLIGO PRO - 20 L;AMPLIGO PRO;20;L;20;1
389;ATRAZINA TECNICA - 450 KG;ATRAZINA TECNICA;450;KG;450;1
390;AZOXYSTROBIN TECHNICAL - 760 KG;AZOXYSTROBIN TECHNICAL;760;KG;760;1
391;AZOXYSTROBIN TECHNICAL EXPORT - 760 KG;AZOXYSTROBIN TECHNICAL EXPORT;760;KG;760;1
392;BRAVONIL 500 - 20 L;BRAVONIL 500;20;L;20;1
393;CALARIS - 1 L;CALARIS;1;L;1;1
394;CLETODIM NORTOX - 5 L;CLETODIM NORTOX;5;L;5;1
395;CLETODIM NORTOX - 20 L;CLETODIM NORTOX;20;L;20;1
396;CRUISER 600 FS - 20 L;CRUISER 600 FS;20;L;20;1
397;CRUISER 600 FS - 1000 L;CRUISER 600 FS;1000;L;1000;1
398;DINAXINE - 20 L;DINAXINE;20;L;20;1
399;DUAL GOLD - 1000 L;DUAL GOLD;1000;L;1000;1
400;ENGEO PLENO S - 250 ML;ENGEO PLENO S;250;ML;0.25;1
401;ENGEO PLENO S - 1 L;ENGEO PLENO S;1;L;1;1
402;ENGEO PLENO S - 5 L;ENGEO PLENO S;5;L;5;1
403;ENGEO PLENO S - 20 L;ENGEO PLENO S;20;L;20;1
404;EPIVIO SKY - 5 L;EPIVIO SKY;5;L;5;1
405;EPIVIO VIGOR - 5 L;EPIVIO VIGOR;5;L;5;1
406;EPIVIO VIGOR - 1000 L;EPIVIO VIGOR;1000;L;1000;1
407;PRIORI XTRA - 1000 L;PRIORI XTRA;1000;L;1000;1
408;RIDOVER - 5 KG;RIDOVER;5;KG;5;1
409;VERTIMEC 84 - 1 L;VERTIMEC 84;1;L;1;1
410;VERTIMEC 84 - 5 L;VERTIMEC 84;5;L;5;1
411;ZAPP PRO - 1 L;ZAPP PRO;1;L;1;1
412;ZAPP PRO - 5 L;ZAPP PRO;5;L;5;1
413;ZAPP PRO - 20 L;ZAPP PRO;20;L;20;1
414;ZAPP PRO - 1000 L;ZAPP PRO;1000;L;1000;1
415;DACONIL TECNICO - 680 KG;DACONIL TECNICO;680;KG;680;1
416;ADAGE 350 FS - 1 L;ADAGE 350 FS;1;L;1;1
